Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Trina Van Pelt,"Vice President, Managing Director",Female,Intel Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/trina-van,https://www.linkedin.com/in/trinavanpelt/
Farah Champsi,Managing Director,Female,InterWest Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/farah-champsi,https://www.linkedin.com/in/farah-champsi-21123066/
Jennifer Neundorfer,General Partner,Female,Jane VC,Venture Capital,"""Cleveland, OH"",""Boston, MA""",https://www.crunchbase.com/person/jennifer-keiser-neundorfer,https://www.linkedin.com/in/jkneundorfer/
Maren Bannon,General Partner,Female,Jane VC,Venture Capital,"""London, United Kingdom""",https://www.crunchbase.com/person/maren-bannon,https://www.linkedin.com/in/marenbannon/
Shawn Carter,Angel,PoC,Jay Z,Angel,"""New York, NY""",https://www.crunchbase.com/person/shawn-carter,
Rain Cui,Director,Female,JCI (prev Tyco Ventures),Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/rain-cui-phd,https://www.linkedin.com/in/raincui
Bonny Simi,President,Female,Jetblue Technology Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/bonny-simi,https://www.linkedin.com/in/bonnysimi/
Jeanne Bolger,Vice President,Female,Johnson & Johnson Development Corporation (JJDC),Venture Capital,"""London, United Kingdom""",https://www.crunchbase.com/person/jeanne-bolger,https://www.linkedin.com/in/jeanne-bolger-166b45a/
Marian Nakada,Vice President,Female,Johnson & Johnson Development Corporation (JJDC),Venture Capital,"""Cambridge, MA""",https://www.crunchbase.com/person/marian-nakada,https://www.linkedin.com/in/marian-nakada-ph-d-6624a01/
Renee Ryan,Vice President,Female,Johnson & Johnson Development Corporation (JJDC),Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/renee-ryan,https://www.linkedin.com/in/renee-ryan-251b161/
Stacy Feld,"Vice President, Consumer Venture Investments",Female,Johnson & Johnson Development Corporation (JJDC),Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/stacy-feld,https://www.linkedin.com/in/stacy-feld-0061141/
Paul Judge,Founding Partners,PoC,"TechSquare Labs,Judge Ventures","Venture Capital, Venture Capital","""Atlanta, GA""",https://www.crunchbase.com/person/dr-paul-judge,http://www.linkedin.com/in/paulqjudge
Elizabeth de Saint-Aignan,"Partner, Jump Capital Growth",Female,Jump Capital,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/elizabeth-de-saint-aignan,https://www.linkedin.com/in/elizabeth-de-saint-aignan-b781ba/
Marcus Whitney,Founding Partner,PoC,Jumpstart Foundry,Accelerator,"""Nashville, TN""",https://www.crunchbase.com/person/marcus-whitney,http://www.linkedin.com/in/marcuswhitney
Danielle Morris,"Controller, Partner, Revenue & Compliance Management","PoC,Female",JumpStart Inc.,Venture Capital,"""Cleveland, OH""",https://www.crunchbase.com/person/danielle-morris,https://www.linkedin.com/in/danielle-morris-10422a6/
Minal Hasan,Founder & Managing Partner,Female,K2 Global,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/minal-hasan,https://www.linkedin.com/in/minalhasan/
Katie Shea,Partner,Female,Kairos VC,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/katie-shea-2,
Amy Belt Raimundo,Managing Director,Female,Kaiser Permanente Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/amy-belt,https://www.linkedin.com/in/amy-belt-raimundo-ab5a741/
Benjamin Jealous,Partner,PoC,Kapor Capital,"Family Office, Venture Capital","""Baltimore, MD""",https://www.crunchbase.com/person/benjamin-jealous,http://www.linkedin.com/in/benjamintoddjealous/en
Brian Dixon,Partner,PoC,Kapor Capital,"Family Office, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/brian-dixon-2,http://www.linkedin.com/in/dixonb
Ulili Onovakpuri,Partner,"PoC,Female",Kapor Capital,"Family Office, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/ulili-onovakpuri,
Susan Choe,"Founder, General Partner",Female,"Katalyst.Ventures,Katalyst Ventures","Venture Capital, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/susan-choe,https://www.linkedin.com/in/choesusan
Nishita Cummings,Partner,Female,Kayne Partners,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/nishita-pawar,https://www.linkedin.com/in/nishita-cummings-aa1a131b
Kingsley R. Chin,Managing Partner & CEO,PoC,KIC Ventures,Venture Capital,"""Miami, FL""",https://www.crunchbase.com/person/kingsley-r-chin,https://www.linkedin.com/in/kingsleychin
Lynn Cho O'Keefe,Partner,Female,Kleiner Perkins Caufield & Byers,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lynne-chou-o-keefe,
Lynne Chou O'Keefe,"Partner, Life Sciences Group",Female,Kleiner Perkins Caufield & Byers,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lynne-chou-o-keefe,https://www.linkedin.com/in/lynne-chou-o-keefe-5617a/
Mary Meeker,General Partner,Female,Kleiner Perkins Caufield & Byers,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/mary-meeker,https://www.linkedin.com/in/mary-meeker-5823ba48/
Linda Oramasionwu,Partner,"PoC,Female",Kupanda Capital,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/linda-oramasionwu,https://www.linkedin.com/in/linda-oramasionwu-6a034217/
Geri Kirilova,Principal,Female,Laconia Capital Group,Venture Capital,"""New York, NY""",https://www.crunchbase.com/organization/laconia-capitalgroup,https://www.linkedin.com/in/gerikirilova/
Faran Nouri,,Female,Lam Research Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/faran-nouri,https://www.linkedin.com/in/faran-nouri-a544291/
Vanessa Pestritto,Partner,"PoC,Female",Lattice Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/lauren-maillian-bias,
Lauren Bias,Angel,"PoC,Female",Lauren Bias,Angel,"""New York, NY""",https://www.crunchbase.com/person/lauren-maillian-bias,
Maia Sharpley,Partner,"Female,PoC",Learn Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/maia-sharpley,https://www.linkedin.com/in/maiasharpley/
Jodi Hubler,Managing Director,Female,Lemhi Ventures,Venture Capital,"""Minneapolis, MN""",https://www.crunchbase.com/person/jodi-hubler,http://www.linkedin.com/pub/jodi-hubler/0/ba8/64a
Helen Zelman Boniske,"Co-Founder, Partner",Female,Lemnos Labs,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/helen-zelman,http://www.linkedin.com/in/helenzelman
Andrea Hippeau,Principal,Female,Lerer Hippeau,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/andrea-hippeau,https://www.linkedin.com/in/andrea-hippeau-64658227/
Nicole Quinn,Partner,Female,Lightspeed Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/nicole-quinn,https://www.linkedin.com/in/nicole-quinn-a5435114/
Jean George,General Partner,Female,Lightstone Ventures,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/jean-george,http://www.linkedin.com/pub/jean-george/b/669/178
Juliet Tammenoms Bakker,Managing Director,Female,Longitude Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/juliet-tammenoms-bakker,https://www.linkedin.com/in/juliet-tammenoms-bakker-2a8a6240/
Lorine Pendleton,Angel,"PoC,Female",Lorine Pendleton,Angel,"""New York, NY""",https://www.crunchbase.com/person/lorine-pendleton,https://www.linkedin.com/in/lorinependleton/
David Hunegnaw,Partner,PoC,LOUD Capital,Venture Capital,"""Columbus, OH""",https://www.crunchbase.com/person/david-hunegnaw,http://www.linkedin.com/in/hunegnaw
Renata Quintini,Partner,"Female,PoC",Lux Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/renata-quintini,http://www.linkedin.com/pub/renata-quintini/0/a19/949
Elliot Robinson,Partner,PoC,M12,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/elliott-robinson#section-overview,
Leo de Luna,"General Manager, Managing Director",PoC,M12,Venture Capital,"""New York, NY"",""San Francisco, CA""",,https://www.linkedin.com/in/leo-de-luna-313226/
Lisa Nelson,Managing Director,Female,M12,Venture Capital,"""Seattle, WA""",https://www.crunchbase.com/person/lisa-nelson-2,https://www.linkedin.com/in/lisa-nelson-26233a1/
Rashmi Gopinath,General Partner,Female,M12,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/rashmi-gopinath,https://www.linkedin.com/in/rashmigopinath/
Ryan Smith,Director of Venture Capital and Private Equity ,PoC,Magic Johnson Enterprises,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/noramay-cadena,
Noramay Cadena,Managing Director,"PoC,Female",Make in LA,Accelerator,"""Los Angeles, CA""",https://www.crunchbase.com/person/noramay-cadena,https://www.linkedin.com/in/noramay
Rashaun Williams,General Partner (The All-Star Fund),PoC,Manhattan Venture Partners,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/rashaun-williams-2,https://www.linkedin.com/in/rashaunlwilliams/
Dana Wright,Partner,Female,Math Venture Partners,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/dana-wright,https://www.linkedin.com/in/dlwright
Alexa McLain,Partner,Female,Matrix Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/alexa-mclain,https://www.linkedin.com/in/alexamclain/
Antonio Rodriguez,General Partner,PoC,Matrix Partners,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/antonio-rodriguez,http://www.linkedin.com/in/antrod
Anarghya Vardhana,General Partner,Female,Maveron,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/anarghya-vardhana,https://www.linkedin.com/in/anarghya-vardhana-b8540a27/
Jessica Peltz-Zatulove,Partner,Female,MDC Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/jessica-peltz,https://www.linkedin.com/in/jessicapeltz
Michael Thompson,Founder & Managing Director,PoC,MDT Ventures,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/michael-thompson-1f6f,https://www.linkedin.com/in/mthompsond3/
Carmelo Anthony,Co-founder & Partner,PoC,Melo7 Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/carmelo-anthony,
Naomi Pilsof Ionita,Partner,Female,Menlo Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/naomi-pilosof-ionita,
Alexsis de Raadt-St. James,Managing General Partner,Female,Merian Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/alexsis-de-raadt-st-james,https://www.linkedin.com/in/alexsis-de-raadt-st-james-7230a2a
Merritt Hummer,"Angel, Principal",Female,"Merritt Hummer,Bain Capital Ventures","Angel, Venture Capital","""New York, NY""",,https://www.linkedin.com/in/merritt-hummer-aa187712/
Clelia Peters,Co-founder & Partner,Female,MetaProp,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/clelia-peters,
Crystal McKellar,Managing Director,Female,Mithril Capital Management,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/crystal-mckellar,https://www.linkedin.com/in/crystal-mckellar-08562a3/
Karen Buckner,Partner,Female,MK Capital,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/karen-buckner,http://www.linkedin.com/pub/karen-buckner/3/2ab/ab9
Constance Freedman,"Founder, Managing Partner",Female,Moderne Ventures,Venture Capital,"""Chicago, IL""",https://www.crunchbase.com/person/constance-freedman,http://www.linkedin.com/in/cfreedman
Monique Villa,Associate,"Female,PoC",Mucker Capital,Venture Capital,"""Nashville, TN""",https://www.crunchbase.com/organization/muckercapital,https://www.linkedin.com/in/moniquevilla/
Jacqueline LeSage Krause,Managing Director,Female,Munich Re/HSB Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/jacqueline-lesage-krause,https://www.linkedin.com/in/jacquelinelesagekrause/
Connie Sheng,"Co-Founder, Managing Director",Female,Nautilus Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/connie-sheng,https://www.linkedin.com/in/connie-sheng-4045a/
Lindsay Karas,Operating Partner -  Chief Legal ,Female,NCT Ventures,Venture Capital,"""Columbus, OH""",https://www.crunchbase.com/person/lindsay-karas,https://www.linkedin.com/in/lindsaykaras/
Ivan Alo,Co-founder & Managing Partner,PoC,New Age Capital,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/ivan-alo,https://www.linkedin.com/in/ivan-alo-a0246631/
Carmen Chang,"General Partner, Chairman and Head, Asia",Female,New Enterprise Associates,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/carmen-chang,https://www.linkedin.com/pub/carmen-chang/11/222/942
Carol Gallagher,Partner,Female,New Enterprise Associates,Venture Capital,"""San Diego, CA""",https://www.crunchbase.com/person/carol-gallagher,http://www.linkedin.com/pub/carol-gallagher/2/598/792
Dayna Grayson,Partner,Female,New Enterprise Associates,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/dayna-grayson,https://www.linkedin.com/pub/dayna-grayson/0/750/15/
Sara Nayeem,Partner,Female,New Enterprise Associates,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/sara-nayeem,http://www.linkedin.com/pub/sara-nayeem/15/928/26b
Vanessa Larco,Partner,"Female,PoC",New Enterprise Associates,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/vanessa-larco,https://www.linkedin.com/in/vanessalarco
Melissa Taunton,Partner,Female,"Broadway Angels,New Enterprise Associates","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/melissa-taunton,https://www.linkedin.com/pub/melissa-taunton/12/90/549
Jeani Delagardelle,Managing Director,Female,New Leaf Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/jeani-delagardelle,http://www.linkedin.com/pub/jeani-delagardelle/6/82a/52b
Elizabeth Wills Chou,Partner,Female,New Markets Venture Partners,Venture Capital,"""Hartford, CT""",https://www.crunchbase.com/person/elizabeth-wills-chou,https://www.linkedin.com/in/elizabethwillschou/
Angela Benton,Founder & CEO,"Female,PoC","NewMe Accelerator,Margarita","Accelerator, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/angela-benton,http://www.linkedin.com/in/abenton
Eva Riesenhuber,Partner & CFO,Female,Next47,Venture Capital,"""Munich, Germany""",https://www.crunchbase.com/person/eva-riesenhuber,https://www.linkedin.com/in/dr-eva-riesenhuber-93b22767/
Susana Quintana-Plaza,Partner,Female,Next47,Venture Capital,"""London, United Kingdom""",https://www.crunchbase.com/person/susana-quintana-plaza,https://www.linkedin.com/in/susanaquintanaplaza/
Rohini Chakravarthy,Partner,Female,NGP Capital,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/rohini-chakravarthy,
Simeon Iheagwam,Founder,PoC,NOEMIS Ventures,"Venture Capital, Angel","""New York, NY""",https://www.crunchbase.com/organization/noemis-ventures,https://www.linkedin.com/company/noemis-ventures/
Carmichael Roberts,General Partner,PoC,North Bridge Venture Partners & Growth Equity,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/carmichael-roberts,https://www.linkedin.com/in/carmichaelsroberts
Lisa Wu,Partner,Female,Norwest Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/lisa-wu,http://www.linkedin.com/pub/lisa-wu/4/31/519
Priti Youssef Choksi,Partner,Female,Norwest Venture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/priti-choksi,https://www.linkedin.com/in/pritichoksi/
Sonya Brown,General Partner,Female,Norwest Venture Partners,Venture Capital,"""Menlo Park, CA""",https://www.crunchbase.com/person/sonya-brown,https://www.linkedin.com/in/brownsonya
Simita Bose,Partner,Female,Novak Biddle Venture Partners,Venture Capital,"""Arlington, VA""",https://www.crunchbase.com/person/simita-bose,http://www.linkedin.com/in/simitabose
Nancy Floyd,Founder and Managing Director,Female,Nth Power,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/nancy-floyd,http://www.linkedin.com/pub/nancy-floyd/0/768/bb1
Annie Lamont,Managing Partner,Female,Oak HC/FT,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/annie-lamont,https://www.linkedin.com/in/annielamont/
Patricia Kemp,General Partner,Female,Oak HC/FT,Venture Capital,"""Greenwich, CT""",https://www.crunchbase.com/person/patricia-kemp,https://www.linkedin.com/in/patriciafkemp/
Sharon Stevenson,Managing Director,Female,Okapi Venture Capital,Venture Capital,"""Laguna Beach, CA""",https://www.crunchbase.com/person/sharon-stevenson,https://www.linkedin.com/in/sharon-stevenson-8b34682/
Devon McDonald,Partner,Female,OpenView Partners,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/devon-mcdonald,https://www.linkedin.com/in/devonemcdonald/
Elizabeth Cain,Partner,Female,OpenView Partners,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/elizabeth-cain,https://www.linkedin.com/in/lizcain
Michael Madison,Director-Genesis & Founding Partner,PoC,Orogenesis,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/michael-madison,https://www.linkedin.com/in/michaelmadison/
Eren Ozmen,Co-Founder,Female,Ozmen Ventures,Venture Capital,"""Reno, NV""",https://www.crunchbase.com/person/eren-ozmen,
Mar Hershenson,"Founder, Managing Partner",Female,"Broadway Angels,Pear Ventures","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/mar-hershenson,https://www.linkedin.com/in/mar-hershenson-b21395
Joseph Beard,Partner,PoC,Perot Jain,Venture Capital,"""Dallas, TX""",https://www.crunchbase.com/person/joseph-beard,https://www.linkedin.com/in/josephabeard
Kneeland Youngblood,Founding Partner,PoC,Pharos Capital Group,Venture Capital,"""Dallas, TX""",https://www.crunchbase.com/person/kneeland-youngblood,
Sarah Hodges,Partner,Female,Pillar VC,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/sarah-hodges,http://www.linkedin.com/in/sarahhodges1
Tiffany Zhong,Founder,Female,Pineapple Capital,"Venture Capital, Angel","""San Francisco, CA"",""Los Angeles, CA""",https://www.crunchbase.com/person/tiffany-zhong,https://www.linkedin.com/in/tzhongg/
Tracy Saxton,Founder & Managing Partner,Female,Pivotal bioVenture Partners,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/tracy-saxton,http://www.linkedin.com/pub/tracy-saxton/8/923/629
Laurence Toney,Partner,PoC,"GV,Plexo Capital","Venture Capital, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/laurence-toney,
Angela Jackson,Managing Partner,Female,Portland Seed Fund,Venture Capital,"""Portland, OR""",https://www.crunchbase.com/person/angela-jackson,
Barry Adams,Managing Partner,PoC,Prairie Crest Capital,Venture Capital,"""Des Moines, IA""",https://www.crunchbase.com/person/barry-adams-23be,https://www.linkedin.com/in/barry-m-adams-a24325b/
Charles Hudson,Managing Partner,PoC,Precursor Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/charles-hudson,http://www.linkedin.com/in/chudson
Victoria Beasley,Principal,Female,Prelude Ventures,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/vbeasley/
Julie Sandler,Managing Director,Female,"Pioneer Square Labs,PSL Ventures","Venture Capital, Venture Capital","""Seattle, WA""",https://www.crunchbase.com/organization/psl-ventures#section-overview,https://www.linkedin.com/company/pioneer-square-labs
Craig Vaughn,Partner,PoC,Queensbridge Venture Partner,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/craig-vaughan-2,
Nasir Jones,Partner,PoC,Queensbridge Venture Partner,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nasir-bin-olu-dara-jones,
Monica Brand Engel,Partner,Female,Quona Capital,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/monica-brand-engel,https://www.linkedin.com/in/monicabrandengel
Pedro Torres Picon,Founder,PoC,Quotidian Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/pedro-torres,
Jennifer Zhu Scott,Partner,Female,Radian Partners,Angel,"""Hong Kong, Hong Kong Island""",,
Kat Taylor,Co-Founder and Managing Partner,Female,Radicle Impact,Venture Capital,"""Oakland, CA""",https://www.crunchbase.com/person/kat-taylor,
Jennifer Carolan,Co-Founder & General Partner,Female,"Broadway Angels,Reach Capital","Angel Network, Venture Capital","""Palo Alto, CA""",https://www.crunchbase.com/person/jennifer-carolan,http://www.linkedin.com/in/jcarolan
Shauntel Poulson,Founder & General Partner,"PoC,Female","Broadway Angels,Reach Capital","Angel Network, Venture Capital","""Palo Alto, CA""",https://www.crunchbase.com/person/shauntel-poulson,
Wayee Chu,General Partner,Female,"Broadway Angels,Reach Capital","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/wayee-chu,https://www.linkedin.com/pub/wayee-chu/1/60/725
Sapna A Shah,Angel (Red Giraffe Advisors),"Female,PoC",Red Giraffe Advisors,Angel,"""New York, NY""",https://www.crunchbase.com/person/sapna-shah-2,https://www.linkedin.com/in/sapnaashah/
Annie Kadavy,Managing Director,Female,Redpoint,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/annie-kadavy,http://www.linkedin.com/in/anniekadavy
Astasia Myers,Principal,Female,Redpoint,Venture Capital,,https://www.crunchbase.com/person/astasia-myers,https://www.linkedin.com/in/astasia-myers-91a45640
Medha Agarwal,Principal,Female,Redpoint,Venture Capital,,,
Brian Laung Aoaeh,"Co-Founder, General Partner",PoC,Refashiond,,"""New York, NY""",https://www.crunchbase.com/person/brian-laung-aoaeh,https://www.linkedin.com/in/supplychainoptimization/
Erica Duignan Minnihan,Managing Partner,"PoC,Female",Reign Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/erica-duignan-minnihan,https://www.linkedin.com/in/ericaduignanminnihan/
Monique Idlett,Managing Partner,"PoC,Female",Reign Ventures,Venture Capital,"""Miami, FL""",https://www.crunchbase.com/person/monique-idlett-mosley,
Edward Dugger III,President,PoC,Reinventure Capital,Venture Capital,"""Boston, MA""",https://www.crunchbase.com/person/edward-dugger-iii,https://www.linkedin.com/in/edwardduggeriii/
Heidi Patel,Partner,Female,Rethink Impact,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/heidi-patel,https://www.linkedin.com/in/heidi-krauel-patel-a4b5/
Jenny Abramson,Founder & Managing Partner,Female,Rethink Impact,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/jenny-abramson,https://www.linkedin.com/in/jenny-abramson-bb75297
David Hall,Partner,PoC,Revolution,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/david-hall-3,https://www.linkedin.com/in/david-hall-102195/
Ilana Diamond,Managing Director,Female,Riverfront Ventures,Venture Capital,"""Pittsburgh, PA""",https://www.crunchbase.com/organization/riverfront-ventures#section-overview,https://www.linkedin.com/in/ilana-diamond-9162155/
Christina Brodbeck,Managing Partner,Female,Rivet Ventures,Venture Capital,"""Los Angeles, CA""",https://www.crunchbase.com/person/christina-brodbeck,http://www.linkedin.com/in/christinabrodbeck
Rebeca Hwang,"Co-Founder, Managing Partner",Female,Rivet Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/rebeca-hwang,http://www.linkedin.com/pub/rebeca-eun-young-hwang/0/a26/473
Shadi Mehraein,"Co-Founder, Managing Partner",Female,Rivet Ventures,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/shadi-mehraein,https://www.linkedin.com/in/shadimeh
Melinda Rogers,Founder,Female,Rogers Venture Partners,Venture Capital,"""Toronto, Canada""",https://www.crunchbase.com/person/melinda-rogers,http://ca.linkedin.com/pub/melinda-rogers/4/784/a80
Caroline Lewis,Partner,Female,Rogue Venture Partners,Venture Capital,"""Portland, OR""",https://www.crunchbase.com/organization/rogue-venture-partners,
Katie Doherty,Co-director,Female,Runway,Accelerator,"""San Francisco, CA""",https://www.crunchbase.com/person/katie-doherty,
Nana Wilberforce,Partner,PoC,S.A.W. Capital Partners,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/nana-wilberforce,
Winslow Sargeant,Managing Director,PoC,S&T,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/winslow-sargeant,https://www.linkedin.com/in/winslow-sargeant-52a2182/
Claudine Emeott,"Director, Impact Investing",Female,Salesforce Ventures,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/claudineemeott/
Phoebe Peronto,Investor,Female,Salesforce Ventures,Venture Capital,"""San Francisco, CA""",,https://www.linkedin.com/in/phoebeperonto
"Elizabeth ""Beezer"" Clarkson",Managing Director,Female,Sapphire Ventures,Venture Capital,"""Palo Alto, CA""",https://www.crunchbase.com/person/elizabeth-beezer-clarkson,http://www.linkedin.com/in/elizabethclarkson
Stacey Bishop,Partner,Female,Scale Venture Partners,Venture Capital,"""Foster City, CA""",https://www.crunchbase.com/person/stacey-curry-bishop,https://www.linkedin.com/in/staceycurrybishop/
Kate Mitchell,Partner,Female,"Broadway Angels,Scale Venture Partners","Angel Network, Venture Capital","""San Francisco, CA""",https://www.crunchbase.com/person/kate-d-mitchell,http://www.linkedin.com/pub/kate-mitchell/0/84/41a
Joaquim Darrel Barros,Managing Director,PoC,SCI Ventures,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/joaquim-darrel-barros,https://www.linkedin.com/in/joaquim-darrel-barros-560335a/
Tony Thomas,Managing Director,PoC,SCI Ventures,Venture Capital,"""Washington, DC""",https://www.crunchbase.com/person/tony-thomas-3,https://www.linkedin.com/in/tony-thomas-2642336/
Nisa Amoils,VP,Female,Scout Ventures,Venture Capital,"""New York, NY""","www.scoutventures,com",www.linkedin.com/in/nisaamoils
Amy Sun,Partner,Female,Sequoia Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/amy-sun,https://www.linkedin.com/in/sunamy/
Jess Lee,Partner,Female,Sequoia Capital,Venture Capital,"""Mountain View, CA""",https://www.crunchbase.com/person/jess-lee,https://www.linkedin.com/in/jesskah
Shelly Kapoor Collins,Managing Partner,Female,Shatter Fund,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/shelly-kapoor-collins,http://www.linkedin.com/in/shellykapoorcollins
Jana Bakunina,Angel,Female,Silvergate Investments,Angel,"""London, United Kingdom""",,
Lord Waheed Ali,Angel,LGBTQ,Silvergate Investments,Angel,"""London, United Kingdom""",https://www.crunchbase.com/person/lord-waheed-alli,
Cody Nystrom,Managing Director,Female,SJF Ventures,Venture Capital,"""Richmond, VA""",https://www.crunchbase.com/person/cody-nystrom,https://www.linkedin.com/in/codynystrom/
Rene E. Chostner,Director,Female,SK hynix America,Venture Capital,"""San Jose, CA""",https://www.crunchbase.com/person/rene-chostner,
Martin Hunt,General PArtner,PoC,SmartInvest Ventures,Venture Capital,"""Philadelphia, PA""",https://www.crunchbase.com/person/martin-hunt-f8a8,https://www.linkedin.com/in/martinhuntsr/
Elizabeth Galbut,Managing Partner,Female,SoGal Ventures,Venture Capital,"""New York, NY""",https://www.crunchbase.com/person/elizabeth-galbut#section-overview,www.linkedin.com/in/egalbut
Pocket Sun,Managing Partner,"Female,LGBTQ,PoC",SoGal Ventures,Venture Capital,"""Shanghai, China"",Singapore",https://www.crunchbase.com/person/pocket-sun,https://www.linkedin.com/in/pocketsun/
Jon Gosier,Founder and General Partner,PoC,Southbox,Venture Capital,"""Philadelphia, PA""",https://www.crunchbase.com/person/jon-gosier-2,http://linkedin.com/in/jongos
Megan Quinn,General Partner,Female,Spark Capital,Venture Capital,"""San Francisco, CA""",https://www.crunchbase.com/person/megan-quinn,https://www.linkedin.com/in/meganquinn/
